brewery,beer name,size,style,description from brewer,color,ABV,OG,FG,IBU,availability,calories,calories/serving size,ingredients,grains,Hops,yeast,other ingredients,distributor,item,upc,reg price,post off,net case price,unit price,deposit,suggested +20%,suggested +25%,suggested +30%,,,,
Blue Point Brewing Co.,Toasted Lager,,Lager,"Blue Point Brewing's award-winning Toasted Lager is our flagship product. Copper in color this brew is made from six different malts including: English Pale, Crystal, Munich, Carapils, Wheat and Belgian Caravienna. Toasted Lager displays a balanced flavor of malt and hop which makes for easy drinking. Special lager yeast is used to produce that long lasting, smooth finish. The ""toasted"" part of the name refers to our direct-fire brew kettle's hot flames that impart a toasted flavor to our most popular microbrew.",,5.3,1.054,,28,,,,,"English Pale, Crystal, Munich, Carapils, Wheat and Belgian Caravienna",,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Hoptical Illusion,,American IPA,"This classic American style IPA features a rare hop exclusively grown on a farm in Oregon. One taste of the Hoptical Illusion and you'll know why Blue Point bought the entire crop. A generous amount of the select hop balances out malty backbone of this delicious golden beer. Offered in six packs and on draft, Hoptical Illusion is tantalizing the tastebuds of beer lovers from Montauk to Manhattan.",,6.3,1.06,,60,,,,,,,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Summer Ale,,Ale,"Blue Point Brewing's Summer Ale has a delicious golden taste. In addition to traditional barley malt, a substantial portion of wheat malt is added to the mix giving this brew a unique tartness that's not found in many beers today. This light, thirst-quenching microbrew is enjoyed by all on a hot, Long Island Summer day.",,4.39,1.044,,16,Summer,,,,barley and wheat,,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Winter Ale,,Amber Ale,"Blue Point Brewing's Winter Ale is a hearty and robust amber ale. Brewed to chase away the chill of a cool winter night. Made with Pale, Vienna, crystal and chocolate malt. This uncommon amber is only brewed during the cold months of the year. Winter Ale is an extremely popular seasonal specialty. Enjoy the tasty balance of malt and hops. Remember this special ale leaves with Winter.",,5.5,1.056,,30,Winter,,,,"Pale, Vienna, crystal and chocolate malt",,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Blueberry Ale,, Blueberry Ale,Blue Point fresh Blueberry Ale offers an unusual twist on brewing that turns out to be just perfect. A wonderful blend of fresh blueberries matched with a thirst quenching distinctive ale. We carefully add 132 lbs of blueberries to each special batch. Brewed with 100% American ingredients. Enjoy a truly unique flavorful brew!,,4.3,1.04,,14,,,,,,,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Oatmeal Stout,,Oatmeal Stout,"Blue Point Brewing's Oatmeal Stout is a rich, deeply malted extravaganza of a beer. The Oatmeal Stout is a dark beer drinker's dream come true. The Oatmeal Stout is made from Pale, Crystal, Chocolate and Roasted Malts. In addition Flaked Oats are added to the mix and the outcome is an uncommonly silky brew. This legendary dark beer is full flavored and rich tasting. A romantically delicious microbrew to share with someone special.",,5.2,1.06,,30,,,,,"Pale, Crystal, Chocolate, Roasted Malts and Flaked Oats ",,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Pale Ale,,Pale Ale,"Blue Point Brewing's Pale Ale has a light golden color but explodes with a rich full-flavor. This refreshing ale is top-fermented and hopped at four different stages of the brewing process. English pale malt lends complexity to this brew. Small amounts of Wheat and Carapils round out the malt bill. Brewed to satisfy the hop lover, this pale ale has an immediate floral-citrus flavor that pervades the overall character of this hoppy, quenching microbrew.",,5,1.052,,36,,,,,"English pale, Wheat and Carapils",,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Hefeweizen,,Hefeweizen ,"Blue Point Brewing's Hefeweizen. In Germany, ""weizen"" means ""wheat."" As the name implies this wheat beer is left unfiltered which leaves some yeast in suspension. This cloudy wheat beer has flavors of banana and cloves which come from a particular yeast we use. In Bavaria it's known as a ""breakfast beer"" because it's light, cleansing, and digestible. Hefeweizen is served in a special, tall glass with a slice of lemon to add a tarty zing to the microbrew.",,4.64,1.052,,15,,,,,,,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Old Howling Bastard,,Ale,"Blue Point Brewing's ""Old Howling Bastard,"" named after an infamous local character, is a strong ale with plenty of character all its own. Made with English 2 row barley and Vienna malt. Reaching an alcohol content of 10%, barleywine should be consumed in moderation. Strong malty caramel flavors are balanced by lots and lots of hops. Try this in a snifter or wineglass. The trick is to never forget that after a few glasses you may become the ""Old Howling Bastard.""",,10,1.097,,60,,,,,English 2 row barley and Vienna malt,,,,,,,,,,,,,,,,,,
Blue Point Brewing Co.,Octoberfest,,Amber Lager,"Blue Point Octoberfest is another palate-pleasing seasonal brew. Originally brewed in 1810 to celebrate the betrothal of the Crown Prince of Bavaria, Blue Point continues the celebration by traditionally brewing this special malty amber lager every October. Octoberfest lager is stored cold for 2 months to ensure its distinct smooth flavor. Tap a pint and celebrate the season!",,5.01,1.052,,28,Winter,,,,,,,,,,,,,,,,,,,,,,
